INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,MULTIPLE_OFFENSE,MULTIPLE_BIAS,VICTIM_TYPES_1,VICTIM_TYPES_2,VICTIM_TYPES_3,Business,Financial Institution,Government,Individual,Law Enforcement Officer,Other,Religious Organization,Society/Public,Unknown,BIAS_DESC_1,BIAS_DESC_2,BIAS_DESC_3,BIAS_DESC_4,BIAS_DESC_5,Anti-American Indian or Alaska Native,Anti-Arab,Anti-Asian,Anti-Atheism/Agnosticism,Anti-Bisexual,Anti-Black or African American,Anti-Buddhist,Anti-Catholic,"Anti-Eastern Orthodox (Russian, Greek, Other)",Anti-Female,Anti-Gay (Male),Anti-Gender Non-Conforming,Anti-Heterosexual,Anti-Hindu,Anti-Hispanic or Latino,Anti-Islamic (Muslim),Anti-Jehovah's Witness,Anti-Jewish,Anti-Lesbian (Female),"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Anti-Male,Anti-Mental Disability,Anti-Mormon,"Anti-Multiple Races, Group","Anti-Multiple Religions, Group",Anti-Native Hawaiian or Other Pacific Islander,Anti-Other Christian,Anti-Other Race/Ethnicity/Ancestry,Anti-Other Religion,Anti-Physical Disability,Anti-Protestant,Anti-Sikh,Anti-Transgender,Anti-White
1341754,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",11-Dec-20,1,0,3,3,0,Unknown,Unknown,1,Intimidation,1,Commercial/Office Building,S,S,Individual,,,0,0,0,1,0,0,0,0,0,"Anti-Multiple Races, Group",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1341764,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",2-Jul-20,1,0,0,,,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1,Church/Synagogue/Temple/Mosque,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Other Christian,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1341768,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",6-May-20,1,0,2,2,0,White,Hispanic or Latino,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Black or African American,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341780,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",3-Nov-20,1,0,1,1,0,White,Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,1,Highway/Road/Alley/Street/Sidewalk,S,S,Individual,,,0,0,0,1,0,0,0,0,0,"Anti-Multiple Races, Group",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1341782,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",2-Jun-20,2,0,1,1,0,Black or African American,Not Hispanic or Latino,2,Simple Assault,2,Parking/Drop Lot/Garage,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-White,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1341791,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",4-Jun-20,1,0,1,1,0,White,Not Hispanic or Latino,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Hispanic or Latino,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341793,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",5-Oct-20,1,0,1,1,0,Black or African American,Not Hispanic or Latino,1,Robbery,1,Parking/Drop Lot/Garage,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Gay (Male),,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341805,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",30-Oct-20,1,0,0,,,Unknown,Unknown,1,Intimidation,1,Residence/Home,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Gay (Male),,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341813,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",21-Dec-20,1,0,1,1,0,White,Not Hispanic or Latino,1,Intimidation,1,Residence/Home,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Black or African American,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341821,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",13-Sep-20,1,0,2,2,0,Unknown,Unknown,1,Aggravated Assault,1,Bar/Nightclub,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Gay (Male),,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
